Balance,Begin Time,End Time,Trade Type,Perc Bal,Symbol,Begin Price,End Price,Commission,Profit
100000,20180902 21:03:35.201,20180903 05:36:15.969,LONG,5,EURUSD,1.16058,1.16107,1.4,175.00000000005073
100175.00000000004,20180903 05:36:15.969,20180903 07:01:54.492,SHORT,5,EURUSD,1.16107,1.16066,1.4,135.00000000001074
100310.00000000006,20180903 07:01:54.492,20180903 08:17:08.410,LONG,5,EURUSD,1.16066,1.16188,1.4,539.9999999999994
100850.00000000006,20180903 08:17:08.410,20180903 09:42:36.689,SHORT,5,EURUSD,1.16188,1.16017,1.4,785.0000000000502
101635.0000000001,20180903 09:42:36.689,20180903 11:33:15.322,LONG,5,EURUSD,1.16017,1.16142,1.4,554.9999999999867
102190.00000000009,20180903 11:33:15.322,20180903 13:33:49.043,SHORT,5,EURUSD,1.16142,1.16119,1.4,44.99999999997624
102235.00000000006,20180903 13:33:49.043,20180903 23:18:59.446,LONG,5,EURUSD,1.16119,1.16166,1.4,164.99999999998522
102400.00000000004,20180903 23:18:59.446,20180904 04:02:30.888,SHORT,5,EURUSD,1.16166,1.16006,1.4,729.9999999999119
103129.99999999996,20180904 04:02:30.888,20180904 05:03:04.785,LONG,5,EURUSD,1.16006,1.16036,1.4,79.99999999998349
103209.99999999994,20180904 05:03:04.785,20180904 11:00:09.075,SHORT,5,EURUSD,1.16036,1.1561,1.4,2060.000000000076
105270.00000000001,20180904 11:00:09.075,20180904 12:20:32.939,LONG,5,EURUSD,1.1561,1.15554,1.4,-349.9999999999469
104920.00000000007,20180904 12:20:32.939,20180904 14:00:48.128,SHORT,5,EURUSD,1.15554,1.15384,1.4,780.0000000000174
105700.00000000009,20180904 14:00:48.128,20180905 03:11:34.963,LONG,5,EURUSD,1.15384,1.15988,1.4,2950.0000000000223
108650.00000000012,20180905 03:11:34.963,20180905 07:29:01.441,SHORT,5,EURUSD,1.15988,1.1544299999999998,1.4,2655.000000000088
111305.0000000002,20180905 07:29:01.441,20180905 11:00:00.947,LONG,5,EURUSD,1.1544299999999998,1.15946,1.4,2445.000000000045
113750.00000000025,20180905 11:00:00.947,20180905 11:45:22.819,SHORT,5,EURUSD,1.15946,1.15862,1.4,349.99999999997596
114100.00000000022,20180905 11:45:22.819,20180905 13:50:39.591,LONG,5,EURUSD,1.15862,1.1629200000000002,1.4,2080.000000000096
116180.00000000032,20180905 13:50:39.591,20180905 14:45:48.865,SHORT,5,EURUSD,1.1629200000000002,1.16211,1.4,335.00000000009976
116515.00000000042,20180905 14:45:48.865,20180906 02:20:00.789,LONG,5,EURUSD,1.16211,1.16464,1.4,1194.9999999999607
117710.00000000038,20180906 02:20:00.789,20180906 06:36:47.007,SHORT,5,EURUSD,1.16464,1.1626299999999998,1.4,935.0000000000337
118645.00000000041,20180906 06:36:47.007,20180906 08:26:59.799,LONG,5,EURUSD,1.1626299999999998,1.16379,1.4,510.00000000013597
119155.00000000054,20180906 08:26:59.799,20180906 10:22:20.487,SHORT,5,EURUSD,1.16379,1.1625299999999998,1.4,560.0000000001305
119715.00000000067,20180906 10:22:20.487,20180906 12:23:02.195,LONG,5,EURUSD,1.1625299999999998,1.16475,1.4,1040.0000000000555
120755.00000000073,20180906 12:23:02.195,20180906 17:24:13.983,SHORT,5,EURUSD,1.16475,1.16169,1.4,1460.0000000000314
122215.00000000076,20180906 17:24:13.983,20180907 08:40:43.062,LONG,5,EURUSD,1.16169,1.16468,1.4,1425.000000000024
123640.00000000079,20180907 08:40:43.062,20180907 13:22:15.407,SHORT,5,EURUSD,1.16468,1.15735,1.4,3594.999999999918
127235.0000000007,20180907 13:22:15.407,20180907 14:27:27.875,LONG,5,EURUSD,1.15735,1.15738,1.4,-55.00000000001275
127180.00000000068,20180907 14:27:27.875,20180907 17:13:00.426,SHORT,5,EURUSD,1.15738,1.15552,1.4,859.9999999999865
128040.00000000067,20180907 17:13:00.426,20180907 19:44:15.872,LONG,5,EURUSD,1.15552,1.15602,1.4,179.99999999997246
128220.00000000064,20180907 19:44:15.872,20180909 22:04:12.388,SHORT,5,EURUSD,1.15602,1.15521,1.4,334.99999999998875
128555.00000000063,20180909 22:04:12.388,20180910 01:07:19.918,LONG,5,EURUSD,1.15521,1.15603,1.4,339.9999999999105
128895.00000000054,20180910 01:07:19.918,20180910 04:24:02.772,SHORT,5,EURUSD,1.15603,1.15426,1.4,814.9999999999137
129710.00000000045,20180910 04:24:02.772,20180910 05:25:07.862,LONG,5,EURUSD,1.15426,1.15471,1.4,154.9999999999197
129865.00000000036,20180910 05:25:07.862,20180910 06:28:40.206,SHORT,5,EURUSD,1.15471,1.1553,1.4,-365.0000000000452
129500.00000000032,20180910 06:28:40.206,20180910 10:30:15.305,LONG,5,EURUSD,1.1553,1.15744,1.4,1000.0000000000155
130500.00000000033,20180910 10:30:15.305,20180910 11:20:36.710,SHORT,5,EURUSD,1.15744,1.1575,1.4,-99.99999999997449
130400.00000000036,20180910 11:20:36.710,20180910 23:51:48.129,LONG,5,EURUSD,1.1575,1.15943,1.4,894.9999999999936
131295.00000000035,20180910 23:51:48.129,20180911 01:53:32.743,SHORT,5,EURUSD,1.15943,1.15834,1.4,475.00000000001774
131770.00000000038,20180911 01:53:32.743,20180911 07:21:26.730,LONG,5,EURUSD,1.15834,1.16394,1.4,2730.0000000000246
134500.0000000004,20180911 07:21:26.730,20180911 12:38:01.578,SHORT,5,EURUSD,1.16394,1.15809,1.4,2854.9999999999554
137355.00000000035,20180911 12:38:01.578,20180912 03:52:01.844,LONG,5,EURUSD,1.15809,1.15872,1.4,244.99999999995424
137600.0000000003,20180912 03:52:01.844,20180912 04:38:23.662,SHORT,5,EURUSD,1.15872,1.1588,1.4,-110.00000000004
137490.00000000026,20180912 04:38:23.662,20180912 08:14:52.715,LONG,5,EURUSD,1.1588,1.15947,1.4,264.99999999997425
137755.00000000023,20180912 08:14:52.715,20180912 11:16:15.199,SHORT,5,EURUSD,1.15947,1.15778,1.4,774.9999999999847
138530.0000000002,20180912 11:16:15.199,20180912 15:06:56.872,LONG,5,EURUSD,1.15778,1.16266,1.4,2369.9999999999977
140900.0000000002,20180912 15:06:56.872,20180912 16:32:28.213,SHORT,5,EURUSD,1.16266,1.16256,1.4,-20.0000000000055
140880.0000000002,20180912 16:32:28.213,20180912 17:48:02.702,LONG,5,EURUSD,1.16256,1.16361,1.4,454.9999999999977
141335.0000000002,20180912 17:48:02.702,20180912 23:38:25.674,SHORT,5,EURUSD,1.16361,1.16283,1.4,320.0000000000015
141655.0000000002,20180912 23:38:25.674,20180913 03:57:30.408,LONG,5,EURUSD,1.16283,1.16367,1.4,349.99999999997596
142005.00000000017,20180913 03:57:30.408,20180913 09:40:32.177,SHORT,5,EURUSD,1.16367,1.16173,1.4,900.0000000000264
142905.0000000002,20180913 09:40:32.177,20180913 10:25:45.091,LONG,5,EURUSD,1.16173,1.16205,1.4,90.000000000049
142995.00000000026,20180913 10:25:45.091,20180913 11:10:49.398,SHORT,5,EURUSD,1.16205,1.1629,1.4,-495.0000000000087
142500.00000000026,20180913 11:10:49.398,20180913 13:26:27.261,LONG,5,EURUSD,1.1629,1.16896,1.4,2959.999999999977
145460.00000000023,20180913 13:26:27.261,20180913 15:57:02.360,SHORT,5,EURUSD,1.16896,1.16723,1.4,795.0000000000047
146255.00000000023,20180913 15:57:02.360,20180914 08:14:28.415,LONG,5,EURUSD,1.16723,1.17165,1.4,2140.000000000045
148395.0000000003,20180914 08:14:28.415,20180917 06:39:20.515,SHORT,5,EURUSD,1.17165,1.16288,1.4,4315.000000000084
152710.00000000038,20180917 06:39:20.515,20180917 21:40:09.151,LONG,5,EURUSD,1.16288,1.1685,1.4,2740.00000000009
155450.00000000047,20180917 21:40:09.151,20180917 23:46:55.267,SHORT,5,EURUSD,1.1685,1.16687,1.4,745.0000000000102
156195.00000000047,20180917 23:46:55.267,20180918 03:44:14.361,LONG,5,EURUSD,1.16687,1.1701700000000002,1.4,1580.0000000000402
157775.0000000005,20180918 03:44:14.361,20180918 04:39:41.834,SHORT,5,EURUSD,1.1701700000000002,1.16983,1.4,100.00000000011451
157875.0000000006,20180918 04:39:41.834,20180918 06:10:36.369,LONG,5,EURUSD,1.16983,1.17084,1.4,435.00000000008873
158310.0000000007,20180918 06:10:36.369,20180918 07:45:55.747,SHORT,5,EURUSD,1.17084,1.16747,1.4,1615.0000000000475
159925.00000000076,20180918 07:45:55.747,20180918 08:41:12.020,LONG,5,EURUSD,1.16747,1.16814,1.4,264.99999999997425
160190.00000000073,20180918 08:41:12.020,20180918 10:01:32.946,SHORT,5,EURUSD,1.16814,1.16755,1.4,224.9999999999342
160415.00000000067,20180918 10:01:32.946,20180918 13:27:34.943,LONG,5,EURUSD,1.16755,1.17077,1.4,1540.0000000000005
161955.00000000067,20180918 13:27:34.943,20180918 17:13:39.889,SHORT,5,EURUSD,1.17077,1.16621,1.4,2210.0000000000596
164165.00000000073,20180918 17:13:39.889,20180918 23:14:47.179,LONG,5,EURUSD,1.16621,1.16775,1.4,700.0000000000484
164865.0000000008,20180918 23:14:47.179,20180919 02:11:23.255,SHORT,5,EURUSD,1.16775,1.16599,1.4,809.9999999999919
165675.0000000008,20180919 02:11:23.255,20180919 08:20:20.657,LONG,5,EURUSD,1.16599,1.17117,1.4,2519.999999999981
168195.00000000076,20180919 08:20:20.657,20180919 14:02:05.354,SHORT,5,EURUSD,1.17117,1.16659,1.4,2220.000000000014
170415.00000000076,20180919 14:02:05.354,20180919 16:17:35.882,LONG,5,EURUSD,1.16659,1.16827,1.4,769.9999999999519
171185.0000000007,20180919 16:17:35.882,20180920 00:02:57.938,SHORT,5,EURUSD,1.16827,1.1674,1.4,364.9999999999632
171550.00000000067,20180920 00:02:57.938,20180920 12:29:11.403,LONG,5,EURUSD,1.1674,1.17763,1.4,5044.999999999981
176595.00000000064,20180920 12:29:11.403,20180920 15:34:57.134,SHORT,5,EURUSD,1.17763,1.17526,1.4,1114.9999999999916
177710.00000000064,20180920 15:34:57.134,20180921 04:44:00.592,LONG,5,EURUSD,1.17526,1.1781,1.4,1349.9999999999768
179060.0000000006,20180921 04:44:00.592,20180921 05:24:27.240,SHORT,5,EURUSD,1.1781,1.17847,1.4,-254.9999999999907
178805.0000000006,20180921 05:24:27.240,20180921 08:55:40.288,LONG,5,EURUSD,1.17847,1.1792200000000002,1.4,305.0000000001253
179110.00000000073,20180921 08:55:40.288,20180921 13:31:50.450,SHORT,5,EURUSD,1.1792200000000002,1.17375,1.4,2665.0000000000427
181775.00000000076,20180921 13:31:50.450,20180921 14:41:57.360,LONG,5,EURUSD,1.17375,1.17545,1.4,780.0000000000174
182555.0000000008,20180921 14:41:57.360,20180921 18:28:46.469,SHORT,5,EURUSD,1.17545,1.17431,1.4,500.0000000000705
183055.00000000084,20180921 18:28:46.469,20180924 00:31:25.789,LONG,5,EURUSD,1.17431,1.17478,1.4,164.99999999998522
183220.00000000081,20180924 00:31:25.789,20180924 06:27:43.249,SHORT,5,EURUSD,1.17478,1.17258,1.4,1029.99999999999
184250.00000000081,20180924 06:27:43.249,20180924 10:43:45.712,LONG,5,EURUSD,1.17258,1.17671,1.4,1994.9999999999834
186245.0000000008,20180924 10:43:45.712,20180924 11:44:10.525,SHORT,5,EURUSD,1.17671,1.17644,1.4,64.99999999999623
186310.0000000008,20180924 11:44:10.525,20180924 13:39:39.917,LONG,5,EURUSD,1.17644,1.18107,1.4,2245.000000000067
188555.00000000084,20180924 13:39:39.917,20180925 04:49:01.056,SHORT,5,EURUSD,1.18107,1.17391,1.4,3510.0000000000273
192065.00000000087,20180925 04:49:01.056,20180925 09:45:35.623,LONG,5,EURUSD,1.17391,1.17645,1.4,1199.9999999999934
193265.00000000087,20180925 09:45:35.623,20180925 10:10:45.887,SHORT,5,EURUSD,1.17645,1.17626,1.4,24.999999999956238
193290.00000000081,20180925 10:10:45.887,20180925 13:51:56.921,LONG,5,EURUSD,1.17626,1.1785,1.4,1050.00000000001
194340.00000000081,20180925 13:51:56.921,20180926 13:39:50.334,SHORT,5,EURUSD,1.1785,1.17292,1.4,2720.00000000007
197060.00000000087,20180926 13:39:50.334,20180926 15:40:17.826,LONG,5,EURUSD,1.17292,1.17529,1.4,1114.9999999999916
198175.00000000087,20180926 15:40:17.826,20180926 16:10:30.122,SHORT,5,EURUSD,1.17529,1.17503,1.4,59.999999999963485
198235.00000000084,20180926 16:10:30.122,20180926 17:56:11.993,LONG,5,EURUSD,1.17503,1.17662,1.4,724.9999999999902
198960.00000000084,20180926 17:56:11.993,20180926 20:36:44.258,SHORT,5,EURUSD,1.17662,1.17434,1.4,1070.00000000003
200030.00000000087,20180926 20:36:44.258,20180927 00:31:21.725,LONG,5,EURUSD,1.17434,1.17554,1.4,530.000000000045
200560.00000000093,20180927 00:31:21.725,20180927 02:08:04.816,SHORT,5,EURUSD,1.17554,1.17432,1.4,539.9999999999994
201100.00000000093,20180927 02:08:04.816,20180927 03:44:14.152,LONG,5,EURUSD,1.17432,1.17508,1.4,309.999999999936
201410.00000000087,20180927 03:44:14.152,20180927 06:30:23.439,SHORT,5,EURUSD,1.17508,1.16944,1.4,2749.9999999999336
204160.00000000081,20180927 06:30:23.439,20180927 11:01:27.086,LONG,5,EURUSD,1.16944,1.17187,1.4,1144.9999999999661
205305.0000000008,20180927 11:01:27.086,20180927 13:06:49.553,SHORT,5,EURUSD,1.17187,1.1677,1.4,2015.0000000000034
207320.0000000008,20180927 13:06:49.553,20180927 13:57:01.504,LONG,5,EURUSD,1.1677,1.16814,1.4,149.99999999999798
207470.0000000008,20180927 13:57:01.504,20180927 15:37:31.245,SHORT,5,EURUSD,1.16814,1.16651,1.4,745.0000000000102
208215.0000000008,20180927 15:37:31.245,20180927 16:27:54.023,LONG,5,EURUSD,1.16651,1.16794,1.4,645.0000000000213
208860.00000000081,20180927 16:27:54.023,20180928 11:54:18.618,SHORT,5,EURUSD,1.16794,1.15806,1.4,4869.9999999999445
213730.00000000076,20180928 11:54:18.618,20180928 15:35:20.694,LONG,5,EURUSD,1.15806,1.16184,1.4,1819.9999999999472
215550.0000000007,20180928 15:35:20.694,20180930 23:06:18.646,SHORT,5,EURUSD,1.16184,1.1605,1.4,599.9999999999485
