Balance,Begin Time,End Time,Trade Type,Perc Bal,Symbol,Begin Price,End Price,Commission,Profit,Lot
100000,20180101 22:01:01.051,20180101 22:31:18.373,SHORT,5,EURUSD,1.20094,1.2008299999999998,1.4,-2.999999999994549,1
99997.0,20180101 22:31:18.373,20180102 00:03:14.526,LONG,5,EURUSD,1.2008299999999998,1.20091,1.4,-5.999999999991998,1
99991.00000000001,20180102 00:03:14.526,20180102 03:36:24.981,SHORT,5,EURUSD,1.20091,1.20196,1.4,-118.99999999999953,1
99872.00000000001,20180102 03:36:24.981,20180102 11:30:24.761,LONG,5,EURUSD,1.20196,1.20662,1.4,452.0000000000108,1
100324.00000000003,20180102 11:30:24.761,20180102 14:01:13.917,SHORT,5,EURUSD,1.20662,1.20564,1.4,83.9999999999981,1
100408.00000000003,20180102 14:01:13.917,20180103 04:35:22.972,LONG,5,EURUSD,1.20564,1.20529,1.4,-49.00000000000724,1
100359.00000000003,20180103 04:35:22.972,20180103 06:32:05.666,SHORT,5,EURUSD,1.20529,1.20568,1.4,-53.00000000001124,1
100306.00000000001,20180103 06:32:05.666,20180103 07:32:27.960,LONG,5,EURUSD,1.20568,1.20428,1.4,-154.0000000000068,1
100152.00000000001,20180103 07:32:27.960,20180103 09:43:13.656,SHORT,5,EURUSD,1.20428,1.2039,1.4,24.000000000004697,1
100176.00000000001,20180103 09:43:13.656,20180103 12:08:46.417,LONG,5,EURUSD,1.2039,1.20186,1.4,-218.00000000000418,1
99958.00000000001,20180103 12:08:46.417,20180103 13:44:26.028,SHORT,5,EURUSD,1.20186,1.20286,1.4,-114.00000000001118,1
99844.0,20180103 13:44:26.028,20180103 15:59:50.675,LONG,5,EURUSD,1.20286,1.2024,1.4,-60.00000000001269,1
99783.99999999999,20180103 15:59:50.675,20180103 23:50:03.351,SHORT,5,EURUSD,1.2024,1.20088,1.4,137.9999999999966,1
99921.99999999999,20180103 23:50:03.351,20180104 14:06:48.239,LONG,5,EURUSD,1.20088,1.20657,1.4,554.9999999999973,1
100476.99999999999,20180104 14:06:48.239,20180105 10:29:22.506,SHORT,5,EURUSD,1.20657,1.20448,1.4,194.99999999999253,1
100671.99999999997,20180105 10:29:22.506,20180105 11:24:42.593,LONG,5,EURUSD,1.20448,1.20499,1.4,37.000000000001044,1
100708.99999999997,20180105 11:24:42.593,20180105 14:15:12.096,SHORT,5,EURUSD,1.20499,1.20343,1.4,284.0000000000012,2
100992.99999999997,20180105 14:15:12.096,20180105 18:31:51.804,LONG,5,EURUSD,1.20343,1.20471,1.4,227.99999999998957,2
101220.99999999996,20180105 18:31:51.804,20180105 20:58:59.459,SHORT,5,EURUSD,1.20471,1.20415,1.4,83.99999999997878,2
101304.99999999994,20180105 20:58:59.459,20180107 23:51:02.945,LONG,5,EURUSD,1.20415,1.2036,1.4,-138.0000000000101,2
101166.99999999993,20180107 23:51:02.945,20180108 07:38:53.344,SHORT,5,EURUSD,1.2036,1.20064,1.4,564.0000000000148,2
101730.99999999994,20180108 07:38:53.344,20180108 09:29:34.866,LONG,5,EURUSD,1.20064,1.19884,1.4,-388.0000000000048,2
101342.99999999994,20180108 09:29:34.866,20180108 13:41:11.495,SHORT,5,EURUSD,1.19884,1.19706,1.4,327.99999999997857,2
101670.99999999993,20180108 13:41:11.495,20180108 15:01:37.747,LONG,5,EURUSD,1.19706,1.19649,1.4,-141.99999999999187,2
101528.99999999994,20180108 15:01:37.747,20180108 17:37:38.651,SHORT,5,EURUSD,1.19649,1.19699,1.4,-127.99999999998897,2
101400.99999999996,20180108 17:37:38.651,20180109 03:14:09.530,LONG,5,EURUSD,1.19699,1.19741,1.4,56.000000000017394,2
101456.99999999997,20180109 03:14:09.530,20180109 06:57:09.805,SHORT,5,EURUSD,1.19741,1.19584,1.4,286.00000000001427,2
101742.99999999999,20180109 06:57:09.805,20180109 09:42:51.410,LONG,5,EURUSD,1.19584,1.19335,1.4,-789.000000000031,3
100953.99999999996,20180109 09:42:51.410,20180109 09:57:57.422,SHORT,5,EURUSD,1.19335,1.19369,1.4,-144.0000000000021,3
100809.99999999996,20180109 09:57:57.422,20180109 10:43:05.394,LONG,5,EURUSD,1.19369,1.19292,1.4,-272.9999999999812,3
100536.99999999997,20180109 10:43:05.394,20180109 12:49:03.097,SHORT,5,EURUSD,1.19292,1.19328,1.4,-149.99999999997476,3
100387.0,20180109 12:49:03.097,20180109 13:39:23.621,LONG,5,EURUSD,1.19328,1.19208,1.4,-401.9999999999603,3
99985.00000000004,20180109 13:39:23.621,20180109 15:39:49.105,SHORT,5,EURUSD,1.19208,1.19291,1.4,-290.9999999999659,3
99694.00000000007,20180109 15:39:49.105,20180110 07:00:21.319,LONG,5,EURUSD,1.19291,1.19284,1.4,-63.00000000000435,3
99631.00000000007,20180110 07:00:21.319,20180110 07:45:32.171,SHORT,5,EURUSD,1.19284,1.19377,1.4,-321.0000000000292,3
99310.00000000004,20180110 07:45:32.171,20180110 10:16:12.707,LONG,5,EURUSD,1.19377,1.19396,1.4,14.999999999973742,3
99325.00000000001,20180110 10:16:12.707,20180110 15:32:11.722,SHORT,5,EURUSD,1.19396,1.19875,1.4,-1479.0000000000216,3
97846.0,20180110 15:32:11.722,20180110 16:17:17.252,LONG,5,EURUSD,1.19875,1.19756,1.4,-399.00000000000733,3
97446.99999999999,20180110 16:17:17.252,20180110 18:07:42.617,SHORT,5,EURUSD,1.19756,1.19658,1.4,251.9999999999943,3
97698.99999999999,20180110 18:07:42.617,20180110 18:58:01.547,LONG,5,EURUSD,1.19658,1.19595,1.4,-230.9999999999725,3
97468.00000000001,20180110 18:58:01.547,20180110 23:15:25.462,SHORT,5,EURUSD,1.19595,1.19521,1.4,179.9999999999889,3
97648.0,20180110 23:15:25.462,20180111 00:57:05.355,LONG,5,EURUSD,1.19521,1.19557,1.4,65.99999999997479,3
97713.99999999997,20180111 00:57:05.355,20180111 02:47:50.034,SHORT,5,EURUSD,1.19557,1.19668,1.4,-374.9999999999833,3
97338.99999999999,20180111 02:47:50.034,20180111 09:10:58.723,LONG,5,EURUSD,1.19668,1.19385,1.4,-890.9999999999663,3
96448.00000000001,20180111 09:10:58.723,20180111 09:46:07.436,SHORT,5,EURUSD,1.19385,1.19463,1.4,-276.00000000000085,3
96172.00000000001,20180111 09:46:07.436,20180111 14:11:59.036,LONG,5,EURUSD,1.19463,1.20362,1.4,2654.9999999999495,3
98826.99999999997,20180111 14:11:59.036,20180111 16:58:02.187,SHORT,5,EURUSD,1.20362,1.2033,1.4,53.99999999996278,3
98880.99999999993,20180111 16:58:02.187,20180111 18:18:35.696,LONG,5,EURUSD,1.2033,1.20355,1.4,32.99999999995844,3
98913.99999999988,20180111 18:18:35.696,20180111 21:10:21.073,SHORT,5,EURUSD,1.20355,1.2032,1.4,83.99999999994017,4
98997.99999999983,20180111 21:10:21.073,20180112 08:07:32.692,LONG,5,EURUSD,1.2032,1.20553,1.4,875.9999999999773,4
99873.9999999998,20180112 08:07:32.692,20180112 11:28:24.059,SHORT,5,EURUSD,1.20553,1.21238,1.4,-2796.000000000009,4
97077.99999999978,20180112 11:28:24.059,20180112 14:44:13.732,LONG,5,EURUSD,1.21238,1.21372,1.4,479.99999999995873,4
97557.99999999974,20180112 14:44:13.732,20180112 16:09:29.165,SHORT,5,EURUSD,1.21372,1.21392,1.4,-136.00000000008,4
97421.99999999967,20180112 16:09:29.165,20180112 21:15:45.419,LONG,5,EURUSD,1.21392,1.22043,1.4,2547.9999999999172,4
99969.99999999958,20180112 21:15:45.419,20180114 23:24:02.741,SHORT,5,EURUSD,1.22043,1.21955,1.4,295.99999999999676,4
100265.99999999958,20180114 23:24:02.741,20180115 05:11:41.055,LONG,5,EURUSD,1.21955,1.22107,1.4,552.0000000000751,4
100817.99999999965,20180115 05:11:41.055,20180115 06:21:57.955,SHORT,5,EURUSD,1.22107,1.22119,1.4,-103.99999999995919,4
100713.9999999997,20180115 06:21:57.955,20180115 09:13:12.091,LONG,5,EURUSD,1.22119,1.22442,1.4,1236.0000000000264,4
101949.99999999972,20180115 09:13:12.091,20180115 11:08:34.853,SHORT,5,EURUSD,1.22442,1.2275200000000002,1.4,-1620.0000000000514,5
100329.99999999967,20180115 11:08:34.853,20180115 22:14:25.119,LONG,5,EURUSD,1.2275200000000002,1.22645,1.4,-605.0000000000632,5
99724.9999999996,20180115 22:14:25.119,20180115 23:50:27.960,SHORT,5,EURUSD,1.22645,1.22688,1.4,-284.9999999999652,5
99439.99999999964,20180115 23:50:27.960,20180116 02:57:31.302,LONG,5,EURUSD,1.22688,1.2271,1.4,40.000000000054506,5
99479.9999999997,20180116 02:57:31.302,20180116 03:17:44.402,SHORT,5,EURUSD,1.2271,1.2265,1.4,230.000000000078,5
99709.99999999977,20180116 03:17:44.402,20180116 04:08:28.768,LONG,5,EURUSD,1.2265,1.22615,1.4,-244.9999999999252,5
99464.99999999984,20180116 04:08:28.768,20180116 13:32:10.614,SHORT,5,EURUSD,1.22615,1.22245,1.4,1780.0000000000182,5
101244.99999999985,20180116 13:32:10.614,20180116 18:49:08.049,LONG,5,EURUSD,1.22245,1.22635,1.4,1880.0000000000073,5
103124.99999999985,20180116 18:49:08.049,20180116 20:29:32.581,SHORT,5,EURUSD,1.22635,1.22714,1.4,-464.9999999999232,5
102659.99999999993,20180116 20:29:32.581,20180116 20:49:40.659,LONG,5,EURUSD,1.22714,1.22686,1.4,-209.99999999991797,5
102450.00000000001,20180116 20:49:40.659,20180116 21:20:14.627,SHORT,5,EURUSD,1.22686,1.22633,1.4,195.00000000007074,5
102645.00000000009,20180116 21:20:14.627,20180116 22:41:38.942,LONG,5,EURUSD,1.22633,1.22619,1.4,-140.0000000000145,5
102505.00000000007,20180116 22:41:38.942,20180117 00:42:54.493,SHORT,5,EURUSD,1.22619,1.2281,1.4,-1025.000000000039,5
101480.00000000003,20180117 00:42:54.493,20180117 00:57:56.348,LONG,5,EURUSD,1.2281,1.23076,1.4,1260.0000000000534,5
102740.00000000009,20180117 00:57:56.348,20180117 06:49:51.439,SHORT,5,EURUSD,1.23076,1.22462,1.4,3000.0000000000173,5
105740.0000000001,20180117 06:49:51.439,20180117 08:35:11.820,LONG,5,EURUSD,1.22462,1.22259,1.4,-1301.9999999999857,6
104438.00000000012,20180117 08:35:11.820,20180117 12:36:18.331,SHORT,5,EURUSD,1.22259,1.2203700000000002,1.4,1247.9999999999334,6
105686.00000000004,20180117 12:36:18.331,20180117 14:21:46.502,LONG,5,EURUSD,1.2203700000000002,1.2223700000000002,1.4,1116.000000000001,6
106802.00000000004,20180117 14:21:46.502,20180117 15:11:54.907,SHORT,5,EURUSD,1.2223700000000002,1.22251,1.4,-167.99999999988415,6
106634.00000000016,20180117 15:11:54.907,20180117 17:07:13.088,LONG,5,EURUSD,1.22251,1.22306,1.4,246.00000000003027,6
106880.00000000019,20180117 17:07:13.088,20180117 21:03:26.407,SHORT,5,EURUSD,1.22306,1.22076,1.4,1295.9999999999814,6
108176.00000000017,20180117 21:03:26.407,20180117 22:14:31.572,LONG,5,EURUSD,1.22076,1.21868,1.4,-1332.000000000049,6
106844.00000000013,20180117 22:14:31.572,20180117 22:19:31.611,SHORT,5,EURUSD,1.21868,1.21891,1.4,-221.99999999997146,6
106622.00000000016,20180117 22:19:31.611,20180117 23:00:17.691,LONG,5,EURUSD,1.21891,1.2170299999999998,1.4,-1212.0000000000623,6
105410.0000000001,20180117 23:00:17.691,20180117 23:15:24.028,SHORT,5,EURUSD,1.2170299999999998,1.21843,1.4,-924.0000000000407,6
104486.00000000006,20180117 23:15:24.028,20180118 00:35:57.296,LONG,5,EURUSD,1.21843,1.21972,1.4,690.000000000008,6
105176.00000000007,20180118 00:35:57.296,20180118 02:01:37.748,SHORT,5,EURUSD,1.21972,1.21933,1.4,149.99999999993426,6
105326.0,20180118 02:01:37.748,20180118 04:38:32.996,LONG,5,EURUSD,1.21933,1.21915,1.4,-192.00000000004138,6
105133.99999999996,20180118 04:38:32.996,20180118 05:43:58.077,SHORT,5,EURUSD,1.21915,1.22011,1.4,-660.0000000000432,6
104473.99999999991,20180118 05:43:58.077,20180118 10:46:03.649,LONG,5,EURUSD,1.22011,1.2223700000000002,1.4,1272.0000000000905,6
105746.0,20180118 10:46:03.649,20180118 11:36:10.793,SHORT,5,EURUSD,1.2223700000000002,1.22385,1.4,-1133.9999999999482,7
104612.00000000006,20180118 11:36:10.793,20180118 12:56:44.695,LONG,5,EURUSD,1.22385,1.22392,1.4,-49.00000000014528,7
104562.99999999991,20180118 12:56:44.695,20180118 14:22:03.535,SHORT,5,EURUSD,1.22392,1.2244700000000002,1.4,-483.0000000001907,7
104079.99999999972,20180118 14:22:03.535,20180118 15:32:17.207,LONG,5,EURUSD,1.2244700000000002,1.2246,1.4,-7.000000000180988,7
104072.99999999955,20180118 15:32:17.207,20180118 17:12:35.355,SHORT,5,EURUSD,1.2246,1.22466,1.4,-140.0000000001197,7
103932.99999999943,20180118 17:12:35.355,20180119 02:22:10.616,LONG,5,EURUSD,1.22466,1.22521,1.4,286.9999999998799,7
104219.99999999932,20180119 02:22:10.616,20180119 03:12:32.898,SHORT,5,EURUSD,1.22521,1.22473,1.4,237.99999999986974,7
104457.99999999919,20180119 03:12:32.898,20180119 09:34:49.619,LONG,5,EURUSD,1.22473,1.22799,1.4,2183.999999999873,7
106641.99999999905,20180119 09:34:49.619,20180119 17:46:51.370,SHORT,5,EURUSD,1.22799,1.22371,1.4,2897.999999999887,7
109539.99999999894,20180119 17:46:51.370,20180119 18:06:58.602,LONG,5,EURUSD,1.22371,1.2225700000000002,1.4,-895.9999999999432,7
108643.999999999,20180119 18:06:58.602,20180119 18:57:16.274,SHORT,5,EURUSD,1.2225700000000002,1.22298,1.4,-384.99999999985954,7
108258.99999999914,20180119 18:57:16.274,20180119 21:28:44.700,LONG,5,EURUSD,1.22298,1.22227,1.4,-594.9999999999918,7
107663.99999999916,20180119 21:28:44.700,20180119 21:58:52.710,SHORT,5,EURUSD,1.22227,1.22205,1.4,55.999999999920874,7
107719.99999999908,20180119 21:58:52.710,20180121 22:15:02.029,LONG,5,EURUSD,1.22205,1.2261,1.4,2736.999999999921,7
110456.99999999901,20180121 22:15:02.029,20180122 04:53:37.513,SHORT,5,EURUSD,1.2261,1.22227,1.4,2583.0,7
113039.99999999901,20180122 04:53:37.513,20180122 08:50:07.104,LONG,5,EURUSD,1.22227,1.22445,1.4,1632.0000000000566,8
114671.99999999907,20180122 08:50:07.104,20180122 10:55:45.868,SHORT,5,EURUSD,1.22445,1.22594,1.4,-1303.999999999993,8
113367.99999999907,20180122 10:55:45.868,20180122 14:16:58.648,LONG,5,EURUSD,1.22594,1.22533,1.4,-599.9999999999995,8
112767.99999999907,20180122 14:16:58.648,20180122 15:22:28.748,SHORT,5,EURUSD,1.22533,1.22441,1.4,624.0000000000256,8
113391.9999999991,20180122 15:22:28.748,20180122 23:32:00.612,LONG,5,EURUSD,1.22441,1.22575,1.4,959.9999999999175,8
114351.99999999901,20180122 23:32:00.612,20180123 01:23:26.345,SHORT,5,EURUSD,1.22575,1.22701,1.4,-1120.0000000000312,8
113231.99999999898,20180123 01:23:26.345,20180123 02:08:50.745,LONG,5,EURUSD,1.22701,1.22651,1.4,-511.9999999999559,8
112719.99999999903,20180123 02:08:50.745,20180123 03:09:16.349,SHORT,5,EURUSD,1.22651,1.22603,1.4,272.00000000002876,8
112991.99999999905,20180123 03:09:16.349,20180123 04:45:28.994,LONG,5,EURUSD,1.22603,1.22638,1.4,168.00000000005798,8
113159.99999999911,20180123 04:45:28.994,20180123 07:32:09.203,SHORT,5,EURUSD,1.22638,1.2251,1.4,911.9999999999583,8
114071.99999999907,20180123 07:32:09.203,20180123 08:52:18.010,LONG,5,EURUSD,1.2251,1.2234,1.4,-1472.0000000000277,8
112599.99999999904,20180123 08:52:18.010,20180123 10:12:34.839,SHORT,5,EURUSD,1.2234,1.22477,1.4,-1207.999999999897,8
111391.99999999914,20180123 10:12:34.839,20180123 11:47:56.111,LONG,5,EURUSD,1.22477,1.22478,1.4,-103.99999999994758,8
111287.9999999992,20180123 11:47:56.111,20180123 12:33:10.814,SHORT,5,EURUSD,1.22478,1.22422,1.4,335.99999999991513,8
111623.99999999911,20180123 12:33:10.814,20180123 15:54:00.399,LONG,5,EURUSD,1.22422,1.22964,1.4,4751.999999999982,9
116375.9999999991,20180123 15:54:00.399,20180123 16:44:07.148,SHORT,5,EURUSD,1.22964,1.22843,1.4,963.00000000014,9
117338.99999999924,20180123 16:44:07.148,20180123 19:10:09.541,LONG,5,EURUSD,1.22843,1.2283,1.4,-242.99999999996714,9
117095.99999999927,20180123 19:10:09.541,20180123 19:45:27.498,SHORT,5,EURUSD,1.2283,1.22922,1.4,-954.0000000000286,9
116141.99999999924,20180123 19:45:27.498,20180124 04:10:26.081,LONG,5,EURUSD,1.22922,1.23335,1.4,3590.99999999997,9
119732.99999999921,20180124 04:10:26.081,20180124 05:51:22.790,SHORT,5,EURUSD,1.23335,1.23174,1.4,1322.9999999999004,9
121055.99999999911,20180124 05:51:22.790,20180124 08:12:00.668,LONG,5,EURUSD,1.23174,1.2326700000000002,1.4,711.0000000000878,9
121766.9999999992,20180124 08:12:00.668,20180124 10:17:21.104,SHORT,5,EURUSD,1.2326700000000002,1.2336,1.4,-962.9999999998878,9
120803.99999999932,20180124 10:17:21.104,20180124 13:38:05.625,LONG,5,EURUSD,1.2336,1.23629,1.4,2294.9999999998736,9
123098.99999999919,20180124 13:38:05.625,20180124 14:53:12.681,SHORT,5,EURUSD,1.23629,1.2386700000000002,1.4,-2268.0000000002437,9
