Balance,Begin Time,End Time,Trade Type,Perc Bal,Symbol,Begin Price,End Price,Commission,Profit,Lot
100000,20180801 00:00:00.148,20180801 05:58:42.487,SHORT,5,EURUSD,1.1689,1.16796,1.4,79.99999999999409,1
100080.0,20180801 05:58:42.487,20180801 07:54:13.209,LONG,5,EURUSD,1.16796,1.16885,1.4,74.99999999998354,1
100154.99999999999,20180801 07:54:13.209,20180801 11:20:29.994,SHORT,5,EURUSD,1.16885,1.16847,1.4,24.000000000004697,1
100178.99999999999,20180801 11:20:29.994,20180801 12:20:49.288,LONG,5,EURUSD,1.16847,1.16856,1.4,-4.999999999985447,1
100174.0,20180801 12:20:49.288,20180801 17:02:08.932,SHORT,5,EURUSD,1.16856,1.16649,1.4,193.00000000000162,1
100367.0,20180801 17:02:08.932,20180801 18:27:46.716,LONG,5,EURUSD,1.16649,1.16708,1.4,44.99999999998684,1
100411.99999999999,20180801 18:27:46.716,20180802 12:01:16.940,SHORT,5,EURUSD,1.16708,1.1616,1.4,533.999999999993,1
100945.99999999999,20180802 12:01:16.940,20180802 13:16:34.604,LONG,5,EURUSD,1.1616,1.16229,1.4,55.00000000000795,1
101001.0,20180802 13:16:34.604,20180803 08:37:31.692,SHORT,5,EURUSD,1.16229,1.15776,1.4,439.00000000001444,1
101440.00000000001,20180803 08:37:31.692,20180803 09:12:51.113,LONG,5,EURUSD,1.15776,1.15813,1.4,23.00000000002035,1
101463.00000000003,20180803 09:12:51.113,20180803 09:53:09.050,SHORT,5,EURUSD,1.15813,1.15783,1.4,32.0000000000378,2
101495.00000000007,20180803 09:53:09.050,20180803 11:48:40.865,LONG,5,EURUSD,1.15783,1.16004,1.4,414.00000000000904,2
101909.00000000009,20180803 11:48:40.865,20180803 13:43:54.136,SHORT,5,EURUSD,1.16004,1.15689,1.4,601.9999999999973,2
102511.00000000009,20180803 13:43:54.136,20180803 15:54:42.994,LONG,5,EURUSD,1.15689,1.1599700000000002,1.4,588.0000000000388,2
103099.00000000013,20180803 15:54:42.994,20180806 06:18:18.190,SHORT,5,EURUSD,1.1599700000000002,1.15509,1.4,948.0000000000434,2
