Balance,Begin Time,End Time,Trade Type,Perc Bal,Symbol,Begin Price,End Price,Commission,Profit,Lot
100000,20180101 22:01:01.051,20180110 14:16:54.143,LONG,5,EURUSD,1.20116,1.20062,1.4,-67.9999999999985,1
99932.0,20180110 14:16:54.143,20180111 10:01:16.545,SHORT,5,EURUSD,1.20062,1.1949,1.4,557.9999999999947,1
100490.0,20180111 10:01:16.545,20180117 04:08:47.863,LONG,5,EURUSD,1.1949,1.22678,1.4,3173.999999999991,1
103663.99999999999,20180117 04:08:47.863,20180117 15:47:01.250,SHORT,5,EURUSD,1.22678,1.22403,1.4,261.000000000003,1
103924.99999999999,20180117 15:47:01.250,20180117 17:57:24.325,LONG,5,EURUSD,1.22403,1.22448,1.4,31.000000000006146,1
103955.99999999999,20180117 17:57:24.325,20180118 09:00:18.669,SHORT,5,EURUSD,1.22448,1.22042,1.4,391.9999999999952,1
104347.99999999999,20180118 09:00:18.669,20180125 05:39:55.127,LONG,5,EURUSD,1.22042,1.24341,1.4,2284.999999999984,1
106632.99999999997,20180125 05:39:55.127,20180125 11:00:47.236,SHORT,5,EURUSD,1.24341,1.24126,1.4,200.99999999998744,1
106833.99999999996,20180125 11:00:47.236,20180125 16:16:30.659,LONG,5,EURUSD,1.24126,1.24925,1.4,784.9999999999942,1
107618.99999999996,20180125 16:16:30.659,20180125 22:48:33.891,SHORT,5,EURUSD,1.24925,1.23829,1.4,1082.0000000000082,1
108700.99999999997,20180125 22:48:33.891,20180128 23:35:42.362,LONG,5,EURUSD,1.23829,1.24214,1.4,371.00000000001313,1
109071.99999999999,20180128 23:35:42.362,20180129 16:35:11.306,SHORT,5,EURUSD,1.24214,1.23471,1.4,729.0000000000048,1
109800.99999999999,20180129 16:35:11.306,20180130 13:38:02.523,LONG,5,EURUSD,1.23471,1.24287,1.4,801.9999999999945,1
110602.99999999999,20180130 13:38:02.523,20180201 06:28:55.559,SHORT,5,EURUSD,1.24287,1.24121,1.4,151.9999999999995,1
110754.99999999999,20180201 06:28:55.559,20180202 11:27:30.575,LONG,5,EURUSD,1.24121,1.24949,1.4,814.0000000000066,1
111568.99999999999,20180202 11:27:30.575,20180202 14:58:17.383,SHORT,5,EURUSD,1.24949,1.24351,1.4,584.0000000000095,1
112153.0,20180202 14:58:17.383,20180205 11:32:26.986,LONG,5,EURUSD,1.24351,1.24579,1.4,214.00000000000597,1
112367.0,20180205 11:32:26.986,20180206 05:00:56.285,SHORT,5,EURUSD,1.24579,1.23578,1.4,986.9999999999853,1
113353.99999999999,20180206 05:00:56.285,20180206 09:26:43.644,LONG,5,EURUSD,1.23578,1.24055,1.4,462.99999999999403,1
113816.99999999999,20180206 09:26:43.644,20180206 14:17:32.890,SHORT,5,EURUSD,1.24055,1.23507,1.4,534.0000000000151,1
114351.0,20180206 14:17:32.890,20180207 07:03:23.794,LONG,5,EURUSD,1.23507,1.2391299999999998,1.4,391.9999999999952,1
114743.0,20180207 07:03:23.794,20180208 11:10:54.362,SHORT,5,EURUSD,1.2391299999999998,1.22405,1.4,1493.9999999999761,1
116236.99999999997,20180208 11:10:54.362,20180208 14:11:18.268,LONG,5,EURUSD,1.22405,1.2274,1.4,320.9999999999964,1
116557.99999999997,20180208 14:11:18.268,20180214 00:51:14.234,SHORT,5,EURUSD,1.2274,1.23544,1.4,-818.0000000000047,1
115739.99999999997,20180214 00:51:14.234,20180214 11:00:19.096,LONG,5,EURUSD,1.23544,1.23544,1.4,-13.999999999999998,1
115725.99999999997,20180214 11:00:19.096,20180214 12:51:04.865,SHORT,5,EURUSD,1.23544,1.23498,1.4,32.0000000000127,1
115757.99999999999,20180214 12:51:04.865,20180216 08:03:17.133,LONG,5,EURUSD,1.23498,1.25298,1.4,1786.0000000000014,1
117543.99999999999,20180216 08:03:17.133,20180219 14:46:07.740,SHORT,5,EURUSD,1.25298,1.23754,1.4,1529.9999999999898,1
119073.99999999997,20180219 14:46:07.740,20180221 18:02:43.239,LONG,5,EURUSD,1.23754,1.23259,1.4,-509.000000000001,1
118564.99999999997,20180221 18:02:43.239,20180222 11:46:34.898,SHORT,5,EURUSD,1.23259,1.22858,1.4,387.00000000000693,1
118951.99999999997,20180222 11:46:34.898,20180226 12:05:47.463,LONG,5,EURUSD,1.22858,1.23345,1.4,472.99999999999295,1
119424.99999999997,20180226 12:05:47.463,20180301 14:10:59.722,SHORT,5,EURUSD,1.23345,1.21836,1.4,1494.9999999999827,1
120919.99999999996,20180301 14:10:59.722,20180305 04:19:57.051,LONG,5,EURUSD,1.21836,1.2322799999999998,1.4,1377.9999999999711,1
122297.99999999993,20180305 04:19:57.051,20180305 07:01:36.998,SHORT,5,EURUSD,1.2322799999999998,1.22945,1.4,268.9999999999888,1
122566.99999999991,20180305 07:01:36.998,20180308 12:23:58.505,LONG,5,EURUSD,1.22945,1.23781,1.4,822.0000000000146,1
123388.99999999993,20180308 12:23:58.505,20180309 13:14:22.062,SHORT,5,EURUSD,1.23781,1.22904,1.4,863.0000000000167,1
124251.99999999994,20180309 13:14:22.062,20180316 11:01:37.896,LONG,5,EURUSD,1.22904,1.2326,1.4,342.00000000000074,1
124593.99999999994,20180316 11:01:37.896,20180321 16:03:11.787,SHORT,5,EURUSD,1.2326,1.2266,1.4,586.0000000000005,1
125179.99999999994,20180321 16:03:11.787,20180322 07:17:57.128,LONG,5,EURUSD,1.2266,1.23648,1.4,974.0000000000111,1
126153.99999999996,20180322 07:17:57.128,20180326 06:42:41.158,SHORT,5,EURUSD,1.23648,1.2367,1.4,-35.999999999988695,1
126117.99999999997,20180326 06:42:41.158,20180327 06:29:51.363,LONG,5,EURUSD,1.2367,1.24522,1.4,838.0000000000084,1
126955.99999999999,20180327 06:29:51.363,20180406 11:08:22.683,SHORT,5,EURUSD,1.24522,1.22424,1.4,2083.9999999999995,1
129039.99999999999,20180406 11:08:22.683,20180412 07:03:16.009,LONG,5,EURUSD,1.22424,1.23602,1.4,1163.9999999999902,1
