Balance,Begin Time,End Time,Trade Type,Perc Bal,Symbol,Begin Price,End Price,Commission,Profit,Lot
100000,20180101 22:01:01.051,20180110 14:16:54.143,LONG,5,EURUSD,1.20116,1.20062,1.4,-67.9999999999985,1
99932.0,20180110 14:16:54.143,20180111 10:01:16.545,SHORT,5,EURUSD,1.20062,1.1949,1.4,557.9999999999947,1
100490.0,20180111 10:01:16.545,20180117 04:08:47.863,LONG,5,EURUSD,1.1949,1.22678,1.4,3173.999999999991,1
103663.99999999999,20180117 04:08:47.863,20180117 15:47:01.250,SHORT,5,EURUSD,1.22678,1.22403,1.4,261.000000000003,1
103924.99999999999,20180117 15:47:01.250,20180117 17:57:24.325,LONG,5,EURUSD,1.22403,1.22448,1.4,31.000000000006146,1
103955.99999999999,20180117 17:57:24.325,20180118 09:00:18.669,SHORT,5,EURUSD,1.22448,1.22042,1.4,391.9999999999952,1
104347.99999999999,20180118 09:00:18.669,20180125 05:39:55.127,LONG,5,EURUSD,1.22042,1.24341,1.4,2284.999999999984,1
106632.99999999997,20180125 05:39:55.127,20180125 11:00:47.236,SHORT,5,EURUSD,1.24341,1.24126,1.4,200.99999999998744,1
106833.99999999996,20180125 11:00:47.236,20180125 16:16:30.659,LONG,5,EURUSD,1.24126,1.24925,1.4,784.9999999999942,1
107618.99999999996,20180125 16:16:30.659,20180125 22:48:33.891,SHORT,5,EURUSD,1.24925,1.23829,1.4,1082.0000000000082,1
108700.99999999997,20180125 22:48:33.891,20180128 23:35:42.362,LONG,5,EURUSD,1.23829,1.24214,1.4,742.0000000000263,2
109443.0,20180128 23:35:42.362,20180129 16:35:11.306,SHORT,5,EURUSD,1.24214,1.23471,1.4,1458.0000000000095,2
110901.00000000001,20180129 16:35:11.306,20180130 13:38:02.523,LONG,5,EURUSD,1.23471,1.24287,1.4,1603.999999999989,2
112505.0,20180130 13:38:02.523,20180201 06:28:55.559,SHORT,5,EURUSD,1.24287,1.24121,1.4,303.999999999999,2
112809.0,20180201 06:28:55.559,20180202 11:27:30.575,LONG,5,EURUSD,1.24121,1.24949,1.4,1628.0000000000132,2
114437.00000000001,20180202 11:27:30.575,20180202 14:58:17.383,SHORT,5,EURUSD,1.24949,1.24351,1.4,1168.000000000019,2
115605.00000000003,20180202 14:58:17.383,20180205 11:32:26.986,LONG,5,EURUSD,1.24351,1.24579,1.4,428.00000000001194,2
116033.00000000004,20180205 11:32:26.986,20180206 05:00:56.285,SHORT,5,EURUSD,1.24579,1.23578,1.4,1973.9999999999707,2
118007.00000000001,20180206 05:00:56.285,20180206 09:26:43.644,LONG,5,EURUSD,1.23578,1.24055,1.4,925.9999999999881,2
118933.0,20180206 09:26:43.644,20180206 14:17:32.890,SHORT,5,EURUSD,1.24055,1.23507,1.4,1068.0000000000302,2
120001.00000000003,20180206 14:17:32.890,20180207 07:03:23.794,LONG,5,EURUSD,1.23507,1.2391299999999998,1.4,1175.9999999999857,3
121177.00000000001,20180207 07:03:23.794,20180208 11:10:54.362,SHORT,5,EURUSD,1.2391299999999998,1.22405,1.4,4481.999999999928,3
125658.99999999994,20180208 11:10:54.362,20180208 14:11:18.268,LONG,5,EURUSD,1.22405,1.2274,1.4,962.9999999999893,3
126621.99999999993,20180208 14:11:18.268,20180214 00:51:14.234,SHORT,5,EURUSD,1.2274,1.23544,1.4,-2454.000000000014,3
124167.99999999991,20180214 00:51:14.234,20180214 11:00:19.096,LONG,5,EURUSD,1.23544,1.23544,1.4,-41.99999999999999,3
124125.99999999991,20180214 11:00:19.096,20180214 12:51:04.865,SHORT,5,EURUSD,1.23544,1.23498,1.4,96.00000000003809,3
124221.99999999996,20180214 12:51:04.865,20180216 08:03:17.133,LONG,5,EURUSD,1.23498,1.25298,1.4,5358.000000000004,3
129579.99999999996,20180216 08:03:17.133,20180219 14:46:07.740,SHORT,5,EURUSD,1.25298,1.23754,1.4,4589.999999999969,3
134169.9999999999,20180219 14:46:07.740,20180221 18:02:43.239,LONG,5,EURUSD,1.23754,1.23259,1.4,-1527.0000000000032,3
132642.9999999999,20180221 18:02:43.239,20180222 11:46:34.898,SHORT,5,EURUSD,1.23259,1.22858,1.4,1161.000000000021,3
133803.99999999994,20180222 11:46:34.898,20180226 12:05:47.463,LONG,5,EURUSD,1.22858,1.23345,1.4,1891.9999999999718,4
135695.9999999999,20180226 12:05:47.463,20180301 14:10:59.722,SHORT,5,EURUSD,1.23345,1.21836,1.4,5979.999999999931,4
141675.99999999985,20180301 14:10:59.722,20180305 04:19:57.051,LONG,5,EURUSD,1.21836,1.2322799999999998,1.4,5511.9999999998845,4
147187.99999999974,20180305 04:19:57.051,20180305 07:01:36.998,SHORT,5,EURUSD,1.2322799999999998,1.22945,1.4,1075.9999999999552,4
148263.99999999968,20180305 07:01:36.998,20180308 12:23:58.505,LONG,5,EURUSD,1.22945,1.23781,1.4,3288.000000000058,4
151551.99999999974,20180308 12:23:58.505,20180309 13:14:22.062,SHORT,5,EURUSD,1.23781,1.22904,1.4,3452.000000000067,4
155003.9999999998,20180309 13:14:22.062,20180316 11:01:37.896,LONG,5,EURUSD,1.22904,1.2326,1.4,1368.000000000003,4
156371.9999999998,20180316 11:01:37.896,20180321 16:03:11.787,SHORT,5,EURUSD,1.2326,1.2266,1.4,2344.000000000002,4
158715.9999999998,20180321 16:03:11.787,20180322 07:17:57.128,LONG,5,EURUSD,1.2266,1.23648,1.4,3896.0000000000446,4
162611.99999999985,20180322 07:17:57.128,20180326 06:42:41.158,SHORT,5,EURUSD,1.23648,1.2367,1.4,-143.99999999995478,4
162467.9999999999,20180326 06:42:41.158,20180327 06:29:51.363,LONG,5,EURUSD,1.2367,1.24522,1.4,4190.000000000042,5
166657.99999999994,20180327 06:29:51.363,20180406 11:08:22.683,SHORT,5,EURUSD,1.24522,1.22424,1.4,10419.999999999998,5
177077.99999999994,20180406 11:08:22.683,20180412 07:03:16.009,LONG,5,EURUSD,1.22424,1.23602,1.4,5819.999999999951,5
