Balance,Begin Time,End Time,Trade Type,Perc Bal,Symbol,Begin Price,End Price,Commission,Profit,Lot
100000,20180101 22:01:01.051,20180102 00:59:29.773,LONG,5,EURUSD,1.20116,1.20163,1.4,32.999999999997044,1
100033.0,20180102 00:59:29.773,20180102 02:30:23.568,SHORT,5,EURUSD,1.20163,1.20119,1.4,29.999999999999595,1
100063.0,20180102 02:30:23.568,20180102 10:15:06.439,LONG,5,EURUSD,1.20119,1.20678,1.4,544.9999999999983,1
100608.0,20180102 10:15:06.439,20180102 11:50:38.621,SHORT,5,EURUSD,1.20678,1.20646,1.4,17.999999999987594,1
100625.99999999999,20180102 11:50:38.621,20180102 12:40:45.325,LONG,5,EURUSD,1.20646,1.20642,1.4,-18.000000000004,1
100607.99999999999,20180102 12:40:45.325,20180102 14:51:23.857,SHORT,5,EURUSD,1.20642,1.20435,1.4,193.00000000000162,1
100800.99999999999,20180102 14:51:23.857,20180102 16:36:45.980,LONG,5,EURUSD,1.20435,1.20482,1.4,32.999999999997044,1
100833.99999999999,20180102 16:36:45.980,20180102 18:48:11.357,SHORT,5,EURUSD,1.20482,1.20475,1.4,-6.99999999999855,1
100826.99999999999,20180102 18:48:11.357,20180103 00:06:47.040,LONG,5,EURUSD,1.20475,1.20618,1.4,129.00000000000423,1
100955.99999999999,20180103 00:06:47.040,20180103 03:14:07.607,SHORT,5,EURUSD,1.20618,1.20444,1.4,160.00000000000747,1
101116.0,20180103 03:14:07.607,20180103 05:46:14.204,LONG,5,EURUSD,1.20444,1.20573,1.4,115.00000000000134,1
101231.0,20180103 05:46:14.204,20180103 07:52:36.323,SHORT,5,EURUSD,1.20573,1.20385,1.4,173.99999999998818,1
101404.99999999999,20180103 07:52:36.323,20180103 08:57:56.510,LONG,5,EURUSD,1.20385,1.20426,1.4,27.000000000002146,1
101431.99999999999,20180103 08:57:56.510,20180103 11:08:32.454,SHORT,5,EURUSD,1.20426,1.20147,1.4,265.00000000000705,1
101696.99999999999,20180103 11:08:32.454,20180103 13:19:20.585,LONG,5,EURUSD,1.20147,1.20235,1.4,73.99999999999919,1
101770.99999999999,20180103 13:19:20.585,20180103 14:59:38.860,SHORT,5,EURUSD,1.20235,1.20155,1.4,66.0000000000134,1
101837.0,20180103 14:59:38.860,20180103 17:20:04.192,LONG,5,EURUSD,1.20155,1.20299,1.4,130.0000000000108,1
101967.00000000001,20180103 17:20:04.192,20180104 01:00:14.737,SHORT,5,EURUSD,1.20299,1.20101,1.4,184.0000000000093,1
102151.00000000003,20180104 01:00:14.737,20180104 15:02:01.950,LONG,5,EURUSD,1.20101,1.20804,1.4,689.0000000000091,1
102840.00000000004,20180104 15:02:01.950,20180104 16:32:17.650,SHORT,5,EURUSD,1.20804,1.2069,1.4,99.99999999999189,1
102940.00000000003,20180104 16:32:17.650,20180105 05:26:29.491,LONG,5,EURUSD,1.2069,1.20736,1.4,31.999999999990493,1
102972.00000000001,20180105 05:26:29.491,20180105 09:54:10.616,SHORT,5,EURUSD,1.20736,1.20452,1.4,269.9999999999954,1
103242.00000000001,20180105 09:54:10.616,20180105 10:54:31.164,LONG,5,EURUSD,1.20452,1.20476,1.4,10.0000000000018,1
103252.00000000001,20180105 10:54:31.164,20180105 11:44:44.488,SHORT,5,EURUSD,1.20476,1.20527,1.4,-65.00000000000104,1
103187.00000000001,20180105 11:44:44.488,20180105 12:49:58.298,LONG,5,EURUSD,1.20527,1.20519,1.4,-22.000000000008,1
103165.0,20180105 12:49:58.298,20180105 14:40:20.201,SHORT,5,EURUSD,1.20519,1.20366,1.4,139.00000000000313,1
103304.0,20180105 14:40:20.201,20180105 19:37:32.204,LONG,5,EURUSD,1.20366,1.20489,1.4,109.00000000000644,1
103413.0,20180105 19:37:32.204,20180105 21:59:56.298,SHORT,5,EURUSD,1.20489,1.20376,1.4,99.00000000000755,1
103512.00000000001,20180105 21:59:56.298,20180108 01:13:28.495,LONG,5,EURUSD,1.20376,1.20466,1.4,76.00000000001229,1
103588.00000000003,20180108 01:13:28.495,20180108 08:59:19.996,SHORT,5,EURUSD,1.20466,1.19898,1.4,554.0000000000128,1
104142.00000000004,20180108 08:59:19.996,20180108 10:35:08.879,LONG,5,EURUSD,1.19898,1.1999,1.4,78.0000000000032,1
104220.00000000004,20180108 10:35:08.879,20180108 14:51:35.703,SHORT,5,EURUSD,1.1999,1.19727,1.4,248.99999999999102,1
104469.00000000003,20180108 14:51:35.703,20180108 16:26:58.050,LONG,5,EURUSD,1.19727,1.19793,1.4,51.9999999999883,1
104521.00000000001,20180108 16:26:58.050,20180109 01:48:36.822,SHORT,5,EURUSD,1.19793,1.19663,1.4,115.99999999998569,1
104637.0,20180109 01:48:36.822,20180109 04:40:07.332,LONG,5,EURUSD,1.19663,1.19682,1.4,4.999999999991247,1
104641.99999999999,20180109 04:40:07.332,20180109 11:08:26.313,SHORT,5,EURUSD,1.19682,1.19262,1.4,405.9999999999981,1
105047.99999999999,20180109 11:08:26.313,20180109 16:09:53.222,LONG,5,EURUSD,1.19262,1.19254,1.4,-22.000000000008,1
